PROD_CODE,PROD_CODE_10,PACKAGING,CARBON_FOOTPRINT,HAZARDOUS_MATERIAL,RECYCLABLE
PRD0900867,CL00027,3,9,1,3
PRD0900873,CL00150,3,6,2,2
PRD0900911,CL00116,2,7,2,2
PRD0900923,CL00126,2,5,2,1
PRD0900934,CL00015,3,9,1,2
PRD0900944,CL00104,1,7,2,3
PRD0900954,CL00013,1,8,2,1
PRD0900958,CL00079,3,8,2,2
PRD0900982,CL00182,1,4,2,2
PRD0900985,CL00092,2,4,2,1
PRD0900987,CL00159,3,10,1,1
PRD0901004,CL00151,1,4,2,3
PRD0901021,CL00128,1,4,1,2
PRD0901048,CL00065,3,9,1,3
PRD0901068,CL00058,1,7,1,2
PRD0901084,CL00039,3,9,1,2
PRD0901116,CL00073,1,6,1,3
PRD0901128,CL00203,3,1,2,1
PRD0901150,CL00155,2,4,1,3
PRD0901153,CL00065,3,6,2,1
PRD0901158,CL00150,3,1,2,2
PRD0901161,CL00048,1,9,2,2
PRD0901167,CL00079,3,2,2,1
PRD0901192,CL00105,1,4,1,1
PRD0901194,CL00096,3,10,1,2
PRD0901213,CL00235,2,5,2,1
PRD0901228,CL00078,2,3,1,2
PRD0901237,CL00135,1,1,1,3
PRD0901252,CL00123,3,7,2,2
PRD0901265,CL00030,1,4,2,2
PRD0901278,CL00045,2,3,2,2
PRD0901294,CL00033,3,10,2,1
PRD0901304,CL00046,2,9,2,1
PRD0901316,CL00044,2,3,1,3
PRD0901343,CL00128,2,2,1,2
PRD0901375,CL00096,1,10,2,3
PRD0901383,CL00044,3,10,2,2
PRD0901416,CL00007,2,7,1,2
PRD0901436,CL00160,2,2,2,1
PRD0901441,CL00079,1,5,1,3
PRD0901454,CL00063,2,5,1,3
PRD0901473,CL00142,3,10,2,2
PRD0901508,CL00135,1,6,2,3
PRD0901545,CL00083,2,1,2,3
PRD0901549,CL00034,3,7,1,2
PRD0901585,CL00103,3,8,2,3
PRD0901640,CL00005,1,9,2,2
PRD0901667,CL00073,2,7,1,1
PRD0901672,CL00104,2,6,1,1
PRD0901675,CL00245,3,5,2,2
PRD0901705,CL00139,3,2,2,2
PRD0901735,CL00145,1,1,2,2
PRD0901769,CL00007,2,4,1,3
PRD0901783,CL00075,1,7,1,1
PRD0901789,CL00001,1,3,2,3
PRD0901790,CL00195,2,8,2,1
PRD0901799,CL00017,3,5,2,1
PRD0901802,CL00075,2,1,1,2
PRD0901803,CL00212,3,8,1,2
PRD0901813,CL00163,1,10,1,2
PRD0901819,CL00249,2,6,1,2
PRD0901821,CL00151,3,7,2,3
PRD0901830,CL00127,3,2,1,1
PRD0901878,CL00043,1,3,2,2
PRD0901887,CL00063,2,5,1,1
PRD0901903,CL00164,2,4,2,1
PRD0901906,CL00081,3,1,2,2
PRD0901934,CL00205,1,9,2,3
PRD0901948,CL00023,2,6,1,3
PRD0901996,CL00079,3,8,2,1
PRD0902017,CL00197,3,9,1,3
PRD0902032,CL00077,2,8,1,3
PRD0902044,CL00088,1,1,2,3
PRD0902051,CL00131,1,9,1,2
PRD0902053,CL00089,2,5,1,1
PRD0902063,CL00152,1,6,1,3
PRD0902064,CL00073,3,4,1,1
PRD0902073,CL00155,3,4,1,2
PRD0902102,CL00160,1,8,1,2
PRD0902140,CL00161,1,7,2,1
PRD0902142,CL00151,3,5,2,3
PRD0902148,CL00225,1,3,1,3
PRD0902152,CL00100,2,1,1,1
PRD0902162,CL00018,1,4,2,2
PRD0902190,CL00067,3,10,2,3
PRD0902226,CL00092,1,10,2,2
PRD0902229,CL00222,2,5,1,1
PRD0902236,CL00235,3,3,1,1
PRD0902242,CL00202,2,6,1,2
PRD0902244,CL00214,2,10,2,3
PRD0902290,CL00007,3,8,1,2
PRD0902354,CL00129,3,7,1,2
PRD0902364,CL00236,3,6,1,3
PRD0902382,CL00085,3,9,1,1
PRD0902435,CL00224,2,2,2,1
PRD0902470,CL00199,3,7,2,2
PRD0902477,CL00161,2,4,2,3
PRD0902533,CL00081,1,8,2,2
PRD0902540,CL00044,1,6,1,1
PRD0902594,CL00128,3,3,1,3
PRD0902598,CL00199,1,8,1,3
PRD0902609,CL00101,3,7,1,3
PRD0902618,CL00006,1,10,2,3
PRD0902624,CL00083,2,7,1,2
PRD0902625,CL00212,3,7,2,1
PRD0902640,CL00045,2,3,2,1
PRD0902646,CL00152,2,3,2,2
PRD0902691,CL00159,1,6,2,1
PRD0902700,CL00042,1,10,2,1
PRD0902708,CL00049,2,4,2,2
PRD0902713,CL00245,1,9,1,2
PRD0902735,CL00020,1,1,2,2
PRD0902758,CL00110,2,5,1,2
PRD0902759,CL00237,2,10,1,1
PRD0902792,CL00156,1,3,2,1
PRD0902808,CL00045,1,3,2,3
PRD0902819,CL00218,2,2,1,2
PRD0902840,CL00148,3,1,2,1
PRD0902846,CL00077,2,10,1,1
PRD0902882,CL00029,3,7,1,1
PRD0902891,CL00108,3,4,1,3
PRD0902894,CL00156,1,9,1,1
PRD0902906,CL00188,2,10,1,2
PRD0902907,CL00155,2,2,2,2
PRD0902920,CL00105,3,9,1,1
PRD0902929,CL00027,1,6,2,3
PRD0902940,CL00208,3,5,1,1
PRD0902942,CL00133,3,3,2,1
PRD0902944,CL00027,2,5,1,1
PRD0902980,CL00037,2,5,1,2
PRD0903002,CL00075,3,5,2,2
PRD0903018,CL00148,3,6,2,3
PRD0903039,CL00055,1,7,1,2
PRD0903048,CL00138,1,1,1,2
PRD0903052,CL00031,3,10,1,3
PRD0903053,CL00222,2,3,2,2
PRD0903066,CL00008,2,4,2,1
PRD0903074,CL00045,2,2,1,3
PRD0903078,CL00108,1,9,2,2
PRD0903081,CL00104,3,8,2,1
PRD0903096,CL00164,3,5,1,3
PRD0903153,CL00082,1,10,2,3
PRD0903157,CL00079,3,3,1,1
PRD0903161,CL00159,1,2,1,3
PRD0903169,CL00083,3,2,1,2
PRD0903211,CL00154,1,3,2,3
PRD0903214,CL00196,3,6,2,3
PRD0903224,CL00195,3,7,1,2
PRD0903228,CL00138,1,9,1,1
PRD0903230,CL00198,1,10,1,1
PRD0903246,CL00042,1,4,2,2
PRD0903269,CL00064,3,5,1,3
PRD0903292,CL00065,2,9,2,1
PRD0903298,CL00201,3,6,2,1
PRD0903328,CL00079,3,8,1,3
PRD0903329,CL00161,3,3,2,1
PRD0903337,CL00155,1,10,1,1
PRD0903354,CL00130,3,5,1,3
PRD0903393,CL00007,2,8,1,2
PRD0903399,CL00157,3,7,2,3
PRD0903450,CL00042,2,5,1,2
PRD0903485,CL00219,2,6,2,3
PRD0903511,CL00238,3,2,1,3
PRD0903524,CL00079,2,6,2,1
PRD0903542,CL00151,1,1,2,1
PRD0903557,CL00044,3,9,2,1
PRD0903568,CL00085,2,8,2,1
PRD0903590,CL00139,3,5,1,1
PRD0903596,CL00096,1,1,1,3
PRD0903599,CL00159,2,10,1,2
PRD0903612,CL00063,1,9,2,2
PRD0903640,CL00151,1,4,2,2
PRD0903675,CL00088,2,9,2,3
PRD0903721,CL00067,1,4,2,1
PRD0903728,CL00201,1,4,1,3
PRD0903739,CL00135,3,4,2,2
PRD0903741,CL00151,1,8,1,3
PRD0903750,CL00075,1,7,2,1
PRD0903753,CL00115,1,10,2,2
PRD0903788,CL00001,1,7,2,3
PRD0903807,CL00079,3,4,2,2
PRD0903822,CL00103,2,8,1,1
PRD0903837,CL00069,1,4,1,2
PRD0903840,CL00098,3,3,2,2
PRD0903841,CL00020,1,8,1,1
PRD0903864,CL00114,3,4,1,2
PRD0903909,CL00186,3,9,1,1
PRD0903945,CL00132,1,10,1,1
PRD0903953,CL00076,2,2,1,2
PRD0903959,CL00159,2,8,2,2
PRD0903990,CL00117,3,9,2,3
PRD0903993,CL00045,1,1,1,2
PRD0904014,CL00240,3,8,2,3
PRD0904026,CL00206,2,2,2,1
PRD0904045,CL00083,3,5,2,1
PRD0904046,CL00164,2,9,1,3
PRD0904062,CL00042,1,7,1,1
PRD0904066,CL00049,3,6,1,3
PRD0904074,CL00190,1,8,1,3
PRD0904075,CL00093,3,4,1,2
PRD0904194,CL00157,3,7,1,2
PRD0904207,CL00015,1,6,2,2
PRD0904222,CL00212,2,8,1,2
PRD0904223,CL00078,2,10,1,2
PRD0904230,CL00070,3,10,1,1
PRD0904240,CL00151,3,8,1,3
PRD0904250,CL00045,2,3,1,3
PRD0904262,CL00110,2,10,1,1
PRD0904263,CL00248,1,7,2,1
PRD0904311,CL00079,2,2,2,3
PRD0904324,CL00139,1,4,2,3
PRD0904358,CL00063,1,5,2,1
PRD0904421,CL00002,1,5,1,1
PRD0904425,CL00141,2,9,2,1
PRD0904436,CL00049,2,4,2,2
PRD0904486,CL00050,1,8,1,1
PRD0904488,CL00089,2,5,1,2
PRD0904507,CL00148,3,8,2,3
PRD0904567,CL00025,3,8,1,1
PRD0904579,CL00195,3,6,2,1
PRD0904584,CL00086,3,8,2,3
PRD0904587,CL00103,1,3,2,2
PRD0904604,CL00224,2,1,2,3
PRD0904606,CL00154,3,2,2,2
PRD0904613,CL00067,1,10,2,3
PRD0904627,CL00032,1,7,2,3
PRD0904637,CL00131,3,3,1,2
PRD0904670,CL00085,3,9,2,1
PRD0904678,CL00203,1,4,2,1
PRD0904684,CL00201,1,6,1,3
PRD0904695,CL00198,2,2,2,1
PRD0904696,CL00087,1,8,1,1
PRD0904721,CL00164,2,2,1,3
PRD0904731,CL00008,2,9,1,1
PRD0904753,CL00081,2,1,2,2
PRD0904755,CL00013,1,4,1,3
PRD0904774,CL00064,3,10,2,2
PRD0904775,CL00207,3,4,2,1
PRD0904780,CL00031,2,6,2,2
PRD0904831,CL00205,3,7,1,3
PRD0904852,CL00085,1,3,2,2
PRD0904861,CL00101,1,2,1,2
PRD0904887,CL00041,3,9,1,1
PRD0904891,CL00025,1,4,2,2
PRD0904902,CL00050,1,10,1,2
PRD0904924,CL00230,2,1,1,1
PRD0904963,CL00150,3,4,1,2
PRD0904973,CL00105,2,5,1,2
PRD0904976,CL00040,3,4,2,1
PRD0904978,CL00230,2,4,2,3
PRD0902207,CL00100,1,5,2,3
PRD0900759,CL00069,2,7,2,3
PRD0902277,CL00218,1,6,2,2
PRD0904338,CL00052,2,6,2,2
PRD0902127,CL00201,3,1,2,3
PRD0902214,CL00201,1,7,2,2
PRD0903781,CL00152,2,6,1,3
PRD0902977,CL00144,2,7,2,2
PRD0904429,CL00087,3,6,2,3
PRD0902509,CL00047,2,1,2,1
PRD0902900,CL00072,2,4,1,2
PRD0903912,CL00151,1,2,1,3
PRD0904672,CL00034,1,5,1,1
PRD0902235,CL00053,3,7,1,1
PRD0904157,CL00030,3,9,1,1
PRD0903126,CL00050,2,5,2,3
PRD0903678,CL00222,1,7,2,1
PRD0903437,CL00079,3,3,2,1
PRD0903627,CL00079,1,4,1,2
PRD0904248,CL00079,3,10,1,3
PRD0903868,CL00050,3,6,1,1
PRD0902137,CL00069,2,6,2,1
PRD0902261,CL00070,1,4,2,1
PRD0902748,CL00201,3,7,1,1
PRD0904361,CL00058,1,5,2,1
PRD0900055,CL00230,1,2,1,2
PRD0900151,CL00130,1,3,1,1
PRD0900200,CL00144,2,2,2,3
PRD0900208,CL00207,2,4,1,1
PRD0900218,CL00157,2,10,2,3
PRD0900268,CL00142,2,9,1,1
PRD0900296,CL00070,3,9,1,1
PRD0900311,CL00148,3,9,2,3
PRD0900328,CL00081,2,7,1,2
PRD0900329,CL00083,3,4,1,3
PRD0900369,CL00079,1,4,1,3
PRD0900370,CL00108,3,6,1,3
PRD0900415,CL00040,1,2,2,2
PRD0900541,CL00101,2,9,1,2
PRD0900676,CL00074,2,2,1,2
PRD0900679,CL00041,2,8,2,3
PRD0900691,CL00023,3,8,2,3
PRD0900742,CL00218,3,10,2,2
PRD0900777,CL00098,2,5,1,2
PRD0900796,CL00163,2,3,1,1
PRD0900809,CL00069,2,1,1,2
PRD0900898,CL00081,2,1,2,1
PRD0900965,CL00097,1,5,2,3
PRD0900997,CL00143,2,10,1,1
PRD0901007,CL00073,1,4,2,1
PRD0901032,CL00069,2,4,1,3
PRD0901035,CL00006,3,7,2,1
PRD0901066,CL00046,3,10,2,2
PRD0901182,CL00088,3,6,1,1
PRD0901222,CL00103,3,5,2,3
PRD0901297,CL00140,3,8,1,2
PRD0901299,CL00107,1,7,1,3
PRD0901318,CL00214,3,10,1,2
PRD0901331,CL00238,2,6,2,3
PRD0901340,CL00134,1,3,1,3
PRD0901387,CL00030,2,2,1,2
PRD0901409,CL00157,3,3,1,1
PRD0901456,CL00057,1,1,2,3
PRD0901468,CL00089,3,5,2,1
PRD0901496,CL00106,2,9,1,1
PRD0901609,CL00157,3,2,1,2
PRD0901611,CL00128,3,9,1,1
PRD0901627,CL00039,3,7,1,2
PRD0901630,CL00159,1,7,2,2
PRD0901631,CL00096,3,2,1,1
PRD0901638,CL00070,1,4,2,3
PRD0901650,CL00104,3,1,2,1
PRD0901656,CL00115,3,2,2,2
PRD0901679,CL00101,3,1,1,1
PRD0901716,CL00096,1,4,2,1
PRD0901759,CL00067,2,4,2,1
PRD0901837,CL00157,2,6,2,2
PRD0901858,CL00087,1,5,1,2
PRD0901894,CL00207,2,7,2,1
PRD0901987,CL00110,1,3,2,3
PRD0902029,CL00031,2,2,2,2
PRD0902145,CL00068,1,8,1,1
PRD0902192,CL00067,1,10,1,3
PRD0902194,CL00092,3,10,2,2
PRD0902248,CL00201,1,9,2,1
PRD0902479,CL00144,2,2,2,3
PRD0902484,CL00008,1,7,2,3
PRD0902505,CL00201,1,6,2,1
PRD0902518,CL00069,1,3,1,2
PRD0902534,CL00096,1,8,1,3
PRD0902601,CL00044,2,9,2,3
PRD0902650,CL00144,1,3,2,2
PRD0902692,CL00201,3,10,2,3
PRD0902817,CL00225,2,8,2,3
PRD0902829,CL00209,1,1,1,2
PRD0902837,CL00015,2,1,2,2
PRD0903033,CL00073,3,5,1,1
PRD0903090,CL00218,1,6,2,1
PRD0903114,CL00160,3,5,2,2
PRD0903119,CL00103,1,4,2,1
PRD0903147,CL00089,2,3,2,3
PRD0903198,CL00041,3,10,1,1
PRD0903262,CL00074,2,7,1,3
PRD0903291,CL00106,2,2,1,1
PRD0903311,CL00129,1,9,1,2
PRD0903317,CL00002,2,6,2,1
PRD0903330,CL00075,3,7,2,1
PRD0903388,CL00114,1,4,2,2
PRD0903389,CL00070,2,1,2,2
PRD0903421,CL00159,1,1,1,2
PRD0903476,CL00049,1,9,1,3
PRD0903514,CL00073,1,9,2,3
PRD0903559,CL00074,1,3,2,3
PRD0903563,CL00156,1,5,1,1
PRD0903578,CL00243,3,2,2,2
PRD0903608,CL00236,3,7,1,3
PRD0903620,CL00044,2,5,1,1
PRD0903650,CL00144,2,3,2,1
PRD0903677,CL00151,1,7,2,2
PRD0903727,CL00129,3,6,2,3
PRD0903774,CL00140,2,2,1,1
PRD0903779,CL00001,2,8,2,3
PRD0903806,CL00201,2,6,1,1
PRD0903867,CL00023,1,8,2,3
PRD0903869,CL00156,1,2,1,3
PRD0903873,CL00025,3,10,1,3
PRD0903923,CL00083,2,7,1,2
PRD0903965,CL00150,3,10,2,1
PRD0903975,CL00067,3,3,2,2
PRD0904044,CL00014,2,5,1,2
PRD0904063,CL00230,2,6,1,1
PRD0904141,CL00207,3,6,1,1
PRD0904159,CL00163,1,2,2,3
PRD0904183,CL00007,2,6,2,2
PRD0904245,CL00065,2,2,1,2
PRD0904372,CL00163,2,2,2,1
PRD0904394,CL00093,2,3,2,2
PRD0904413,CL00205,2,8,1,3
PRD0904503,CL00165,2,9,1,1
PRD0904538,CL00098,3,4,2,1
PRD0904548,CL00152,3,7,1,1
PRD0904601,CL00075,2,5,2,2
PRD0904636,CL00123,2,4,2,2
PRD0904885,CL00058,2,10,1,2
PRD0904920,CL00003,1,6,1,2
PRD0904961,CL00073,3,4,1,3
PRD0904962,CL00078,3,3,1,2
PRD0902745,CL00100,3,3,1,2
PRD0903503,CL00100,2,9,1,2
PRD0903812,CL00218,3,4,1,3
PRD0904877,CL00052,3,9,2,3
PRD0903318,CL00219,1,10,2,1
PRD0903150,CL00076,1,7,2,1
PRD0900266,CL00091,2,3,2,1
PRD0902055,CL00164,3,7,1,2
PRD0903418,CL00116,3,8,2,3
PRD0902085,CL00067,1,10,1,1
PRD0904011,CL00076,1,8,2,1
PRD0900009,CL00130,3,2,1,1
PRD0900017,CL00140,2,6,2,1
PRD0900058,CL00020,1,8,1,3
PRD0900064,CL00209,1,10,2,3
PRD0900065,CL00043,1,6,2,2
PRD0900067,CL00201,3,5,1,2
PRD0900074,CL00122,3,9,2,3
PRD0900094,CL00075,3,6,1,1
PRD0900108,CL00163,2,10,2,2
PRD0900135,CL00201,2,9,1,2
PRD0900172,CL00069,3,4,1,2
PRD0900181,CL00148,3,7,2,3
PRD0900223,CL00092,1,7,1,1
PRD0900233,CL00007,2,7,2,3
PRD0900243,CL00017,3,7,2,2
PRD0900254,CL00001,1,3,2,2
PRD0900285,CL00215,1,4,2,1
PRD0900292,CL00108,3,8,2,3
PRD0900295,CL00083,2,3,2,3
PRD0900305,CL00197,2,5,1,2
PRD0900308,CL00165,2,3,2,3
PRD0900312,CL00067,2,8,1,2
PRD0900333,CL00206,2,5,1,1
PRD0900337,CL00126,3,4,1,1
PRD0900346,CL00074,3,5,2,3
PRD0900375,CL00041,3,2,1,2
PRD0900381,CL00156,2,7,2,2
PRD0900399,CL00110,2,4,1,2
PRD0900438,CL00136,2,9,1,3
PRD0900442,CL00103,3,9,1,1
PRD0900450,CL00039,3,10,1,3
PRD0900472,CL00198,3,2,2,2
PRD0900484,CL00131,2,3,2,1
PRD0900500,CL00130,2,5,1,1
PRD0900510,CL00049,2,1,2,3
PRD0900531,CL00026,1,3,1,2
PRD0900554,CL00140,1,2,1,3
PRD0900556,CL00198,1,6,1,1
PRD0900558,CL00072,3,2,1,3
PRD0900560,CL00076,1,4,2,3
PRD0900565,CL00103,2,9,2,1
PRD0900567,CL00138,1,6,2,3
PRD0900588,CL00014,3,2,2,2
PRD0900589,CL00195,2,3,2,1
PRD0900602,CL00103,2,6,2,1
PRD0900603,CL00018,3,1,2,1
PRD0900608,CL00067,1,6,1,1
PRD0900614,CL00162,3,10,1,2
PRD0900622,CL00151,2,7,2,1
PRD0900629,CL00073,3,10,2,2
PRD0900631,CL00006,1,10,2,3
PRD0900637,CL00003,2,4,1,1
PRD0900675,CL00148,3,8,1,2
PRD0900692,CL00010,3,7,2,1
PRD0900709,CL00205,3,4,2,3
PRD0900781,CL00156,3,5,2,2
PRD0900810,CL00038,3,3,1,2
PRD0900818,CL00148,2,9,2,2
PRD0900823,CL00140,3,1,2,3
PRD0900831,CL00089,1,10,1,1
PRD0900834,CL00073,2,10,2,3
PRD0900841,CL00212,2,3,1,2
PRD0900870,CL00156,2,9,2,3
PRD0900876,CL00070,3,5,2,3
PRD0900890,CL00009,3,1,1,1
PRD0900907,CL00150,2,10,2,2
PRD0900912,CL00006,3,4,1,3
PRD0900917,CL00209,1,3,2,1
PRD0900921,CL00129,3,4,2,1
PRD0900940,CL00159,3,8,2,3
PRD0900946,CL00068,3,7,2,3
PRD0900950,CL00131,3,9,2,3
PRD0900983,CL00140,2,9,2,1
PRD0900986,CL00151,1,10,2,3
PRD0900995,CL00116,2,1,1,2
PRD0901003,CL00046,3,6,1,3
PRD0901028,CL00074,3,10,1,2
PRD0901065,CL00007,2,3,1,2
PRD0901069,CL00066,1,1,1,2
PRD0901088,CL00010,2,3,2,1
PRD0901089,CL00076,1,5,1,3
PRD0901092,CL00140,1,10,2,2
PRD0901093,CL00164,2,1,2,3
PRD0901110,CL00136,1,7,2,2
PRD0901124,CL00134,1,8,1,3
PRD0901127,CL00202,2,3,2,2
PRD0901130,CL00049,3,8,1,3
PRD0901131,CL00212,1,2,2,3
PRD0901188,CL00202,2,2,2,1
PRD0901210,CL00204,1,9,1,1
PRD0901214,CL00070,3,4,2,1
PRD0901239,CL00006,3,2,1,1
PRD0901244,CL00067,3,3,2,1
PRD0901279,CL00043,2,10,2,2
PRD0901283,CL00152,1,5,1,3
PRD0901357,CL00105,2,10,2,2
PRD0901359,CL00201,1,4,1,3
PRD0901378,CL00218,3,6,2,2
PRD0901397,CL00160,3,10,2,2
PRD0901400,CL00065,3,9,2,2
PRD0901415,CL00076,3,1,2,1
PRD0901417,CL00001,1,2,2,3
PRD0901458,CL00006,1,7,2,3
PRD0901464,CL00161,2,8,1,1
PRD0901507,CL00163,2,10,2,2
PRD0901516,CL00081,2,8,2,2
PRD0901535,CL00064,3,8,1,3
PRD0901608,CL00153,1,6,1,1
PRD0901617,CL00079,3,2,2,3
PRD0901624,CL00068,3,8,1,3
PRD0901690,CL00198,2,9,2,3
PRD0901712,CL00078,1,2,1,2
PRD0901715,CL00188,2,10,2,3
PRD0901719,CL00085,2,4,2,3
PRD0901740,CL00033,1,1,1,2
PRD0901741,CL00214,3,3,1,3
PRD0901768,CL00122,1,7,1,3
PRD0901798,CL00017,1,2,2,3
PRD0901827,CL00224,2,6,1,2
PRD0901838,CL00067,3,7,1,3
PRD0901859,CL00075,1,7,2,1
PRD0901891,CL00139,2,6,2,1
PRD0901896,CL00159,2,10,1,3
PRD0901915,CL00236,3,7,2,3
PRD0901925,CL00140,1,4,2,3
PRD0901926,CL00049,2,10,1,1
PRD0901963,CL00070,3,4,2,3
PRD0901983,CL00154,3,7,1,3
PRD0901984,CL00151,3,4,2,2
PRD0901988,CL00086,3,3,1,3
PRD0901990,CL00051,3,9,1,1
PRD0902005,CL00038,2,5,1,2
PRD0902056,CL00156,3,4,2,3
PRD0902091,CL00201,2,2,1,2
PRD0902099,CL00075,2,2,2,1
PRD0902104,CL00142,1,7,1,3
PRD0902112,CL00050,1,6,1,2
PRD0902117,CL00142,1,3,1,1
PRD0902125,CL00160,1,2,1,2
PRD0902136,CL00117,3,5,1,3
PRD0902176,CL00076,2,8,1,2
PRD0902186,CL00218,1,9,1,2
PRD0902198,CL00151,3,6,1,1
PRD0902210,CL00162,1,8,2,1
PRD0902216,CL00165,2,2,2,2
PRD0902222,CL00161,1,5,2,1
PRD0902245,CL00076,1,1,2,3
PRD0902265,CL00159,2,10,2,1
PRD0902268,CL00068,2,2,2,3
PRD0902272,CL00006,3,7,2,3
PRD0902295,CL00014,3,1,1,2
PRD0902322,CL00063,2,3,1,3
PRD0902342,CL00023,1,9,2,1
PRD0902367,CL00209,3,8,1,3
PRD0902370,CL00204,3,2,2,1
PRD0902374,CL00142,3,2,1,2
PRD0902376,CL00079,2,9,2,1
PRD0902429,CL00161,1,2,2,2
PRD0902472,CL00113,2,6,1,2
PRD0902495,CL00088,1,2,2,3
PRD0902499,CL00157,1,6,1,2
PRD0902503,CL00058,3,3,1,1
PRD0902522,CL00006,3,5,2,2
PRD0902555,CL00159,3,9,1,1
PRD0902557,CL00051,2,9,1,2
PRD0902580,CL00171,2,8,2,2
PRD0902581,CL00008,2,3,1,3
PRD0902651,CL00101,1,3,1,3
PRD0902656,CL00075,3,5,1,2
PRD0902661,CL00114,2,1,2,1
PRD0902695,CL00070,2,4,2,1
PRD0902725,CL00049,1,2,1,3
PRD0902789,CL00079,2,6,2,3
PRD0902790,CL00162,3,1,1,1
PRD0902801,CL00229,1,1,2,3
PRD0902830,CL00046,2,2,2,2
PRD0902839,CL00230,2,3,2,1
PRD0902876,CL00116,2,9,1,3
PRD0902886,CL00229,3,4,1,2
PRD0902898,CL00037,1,10,2,3
PRD0902941,CL00079,3,8,1,3
PRD0902968,CL00013,3,3,2,1
PRD0902982,CL00103,1,6,2,2
PRD0903003,CL00140,1,5,2,2
PRD0903051,CL00039,2,8,2,1
PRD0903151,CL00134,1,5,1,2
PRD0903180,CL00199,1,9,1,3
PRD0903201,CL00219,3,2,2,2
PRD0903220,CL00072,2,2,1,2
PRD0903226,CL00038,2,9,2,2
PRD0903235,CL00129,3,9,1,1
PRD0903238,CL00085,2,5,2,1
PRD0903255,CL00073,2,8,2,2
PRD0903270,CL00110,3,7,2,2
PRD0903277,CL00017,3,8,2,1
PRD0903310,CL00186,2,5,1,1
PRD0903312,CL00061,2,6,1,2
PRD0903313,CL00201,3,8,1,3
PRD0903338,CL00075,1,4,2,1
PRD0903341,CL00199,3,2,1,2
PRD0903359,CL00067,3,7,1,3
PRD0903361,CL00159,2,9,2,3
PRD0903373,CL00157,3,5,1,3
PRD0903395,CL00028,1,9,1,3
PRD0903411,CL00032,3,9,2,2
PRD0903458,CL00116,2,10,2,1
PRD0903490,CL00069,1,10,2,3
PRD0903497,CL00023,3,6,2,3
PRD0903513,CL00045,2,7,2,3
PRD0903516,CL00148,2,9,2,1
PRD0903579,CL00232,1,2,1,3
PRD0903587,CL00031,1,1,2,2
PRD0903588,CL00218,1,3,1,1
PRD0903595,CL00116,2,5,1,2
PRD0903665,CL00103,2,2,2,2
PRD0903706,CL00148,3,3,2,2
PRD0903724,CL00086,1,6,1,2
PRD0903759,CL00087,3,9,1,1
PRD0903787,CL00157,2,3,2,2
PRD0903793,CL00129,2,2,1,1
PRD0903805,CL00136,2,7,2,1
PRD0903808,CL00198,1,7,1,1
PRD0903843,CL00087,3,4,1,1
PRD0903891,CL00159,3,5,2,2
PRD0903898,CL00070,1,7,2,3
PRD0903918,CL00202,3,6,1,3
PRD0903929,CL00116,3,7,2,1
PRD0903988,CL00086,3,8,1,2
PRD0904023,CL00076,1,5,1,1
